Cause,Donor_Name,Amount,Donor_history,Donor_history_2,Donor_history_3
NeuroScience,DrR.P. & Mrs.T.Sengupta ,$1 Million,"""Pledged $200,000 towards advancing NeuroScience research last summer.""","""Pledged $200,000 towards advancing NeuroScience research last summer.""","""Pledged $200,000 towards advancing NeuroScience research last summer."""
NeuroScience,"Armenian Church of Nazareth, Calcutta","$500,000","""Donated $100,000 to NeuroScience cause a year ago""","""Donated $100,000 to NeuroScience cause a year ago""","""Donated $100,000 to NeuroScience cause a year ago"""
NeuroScience,Sunita Dalmia Foundation ,"$250,000","Pledged $200,000 towards advancing NeuroScience research last summer.","Pledged $200,000 towards advancing NeuroScience research last summer.","Pledged $200,000 towards advancing NeuroScience research last summer."
NeuroScience,Madhu Saraf,"$250,000","Contributed $150,000 to a NeuroScience initiative focused on pediatric care.","Contributed $150,000 to a NeuroScience initiative focused on pediatric care.","Contributed $150,000 to a NeuroScience initiative focused on pediatric care."
NeuroScience,"Infinity IT Park, Kolkata","$250,000","Allocated $300,000 for cutting-edge NeuroScience equipment in local hospitals.","Allocated $300,000 for cutting-edge NeuroScience equipment in local hospitals.","Allocated $300,000 for cutting-edge NeuroScience equipment in local hospitals."
NeuroScience,Bajoria Foundation ,"$250,000","Supported the development of a groundbreaking NeuroScience app with a donation of $100,000.","Supported the development of a groundbreaking NeuroScience app with a donation of $100,000.","Supported the development of a groundbreaking NeuroScience app with a donation of $100,000."
NeuroScience,Alan Rankin ,"$100,000","Donated $50,000 to establish a scholarship fund for aspiring NeuroScience students.","Donated $50,000 to establish a scholarship fund for aspiring NeuroScience students.","Donated $50,000 to establish a scholarship fund for aspiring NeuroScience students."
NeuroScience,Dr.Jayati Mukherjee,"$100,000","Supported the expansion of a NeuroScience clinic with a donation of $65,000.","Supported the expansion of a NeuroScience clinic with a donation of $65,000.","Supported the expansion of a NeuroScience clinic with a donation of $65,000."
NeuroScience,Mr. B.D.Sureka,"$100,000","Donated $70,000 to sponsor a NeuroScience symposium bringing together experts.","Donated $70,000 to sponsor a NeuroScience symposium bringing together experts.","Donated $70,000 to sponsor a NeuroScience symposium bringing together experts."
NeuroScience,Mr. B.K.Pal ,"$50,000","Invested $85,000 in a NeuroScience technology startup focused on brain-computer interfaces.","Invested $85,000 in a NeuroScience technology startup focused on brain-computer interfaces.","Invested $85,000 in a NeuroScience technology startup focused on brain-computer interfaces."
NeuroScience,Mr.Mustaq Hussain,"$50,000","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities.","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities.","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities."
NeuroScience,Sushila Morarka,"$50,000","Supported the expansion of a NeuroScience clinic with a donation of $65,000.","Supported the expansion of a NeuroScience clinic with a donation of $65,000.","Supported the expansion of a NeuroScience clinic with a donation of $65,000."
NeuroScience,International Neurosciences Foundation (INF,"$20,000","Donated $70,000 to sponsor a NeuroScience symposium bringing together experts.","Donated $70,000 to sponsor a NeuroScience symposium bringing together experts.","Donated $70,000 to sponsor a NeuroScience symposium bringing together experts."
NeuroScience,Dr.Mrs.Nilima Chatterjee ,"$20,000","Invested $85,000 in a NeuroScience technology startup focused on brain-computer interfaces.","Invested $85,000 in a NeuroScience technology startup focused on brain-computer interfaces.","Invested $85,000 in a NeuroScience technology startup focused on brain-computer interfaces."
NeuroScience,Pakistan Cultural Society of North East facilitated by Mr.Z.Ahmed ,"$20,000","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities.","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities.","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities."
NeuroScience,Mr.M.K.Sehgal ,"$20,000","Provided $35,000 in funding for a NeuroScience lecture series at a local library.","Provided $35,000 in funding for a NeuroScience lecture series at a local library.","Provided $35,000 in funding for a NeuroScience lecture series at a local library."
NeuroScience,Dr.Monica Biswas Estate ,"$20,000","Contributed $45,000 to a NeuroScience awareness campaign aimed at reducing stigma.","Contributed $45,000 to a NeuroScience awareness campaign aimed at reducing stigma.","Contributed $45,000 to a NeuroScience awareness campaign aimed at reducing stigma."
NeuroScience,Adhunik Group of Industries ,"$20,000","Endowed $55,000 to establish a NeuroScience research fellowship at a prestigious institute.","Endowed $55,000 to establish a NeuroScience research fellowship at a prestigious institute.","Endowed $55,000 to establish a NeuroScience research fellowship at a prestigious institute."
NeuroScience,Dr.Mrs. Rita Gupta ,"$20,000","Supported the expansion of a NeuroScience clinic with a donation of $65,000.","Supported the expansion of a NeuroScience clinic with a donation of $65,000.","Supported the expansion of a NeuroScience clinic with a donation of $65,000."
NeuroScience,Dr.Subhas. & Mrs. Indrani Halder,"$20,000","Donated $70,000 to sponsor a NeuroScience symposium bringing together experts.","Donated $70,000 to sponsor a NeuroScience symposium bringing together experts.","Donated $70,000 to sponsor a NeuroScience symposium bringing together experts."
NeuroScience,Dr. J.C & Mrs.B.. Sarkar ,"$20,000","Invested $85,000 in a NeuroScience technology startup focused on brain-computer interfaces.","Invested $85,000 in a NeuroScience technology startup focused on brain-computer interfaces.","Invested $85,000 in a NeuroScience technology startup focused on brain-computer interfaces."
NeuroScience,Dr.Mihir. & Mrs. Basu ,"$20,000","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities.","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities.","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities."
NeuroScience,Dr. Malay Chakraborty ,"$20,000","Invested $250,000 in a NeuroScience startup aiming to revolutionize mental health treatments.","Invested $250,000 in a NeuroScience startup aiming to revolutionize mental health treatments.","Invested $250,000 in a NeuroScience startup aiming to revolutionize mental health treatments."
NeuroScience,Mr.Sudhir Ranjan Pal ,"$20,000","Provided a grant of $75,000 to a NeuroScience lab for breakthrough research.","Provided a grant of $75,000 to a NeuroScience lab for breakthrough research.","Provided a grant of $75,000 to a NeuroScience lab for breakthrough research."
NeuroScience,Dr.Kiron & Dr.Kamala Das ,"$20,000","Committed $120,000 to support NeuroScience education programs in underserved communities.","Committed $120,000 to support NeuroScience education programs in underserved communities.","Committed $120,000 to support NeuroScience education programs in underserved communities."
NeuroScience,Dr.Malay Das ,"$20,000","Endowed $80,000 to fund a professorship in NeuroScience at a renowned university.","Endowed $80,000 to fund a professorship in NeuroScience at a renowned university.","Endowed $80,000 to fund a professorship in NeuroScience at a renowned university."
NeuroScience,Dr.M. & Dr.Prabha Guha,"$10,000","Sponsored a NeuroScience conference with a donation of $30,000 to facilitate knowledge exchange.","Sponsored a NeuroScience conference with a donation of $30,000 to facilitate knowledge exchange.","Sponsored a NeuroScience conference with a donation of $30,000 to facilitate knowledge exchange."
NeuroScience,"DAV Developments (Minoo Malhotra,Amita Malhotra &Family)","$10,000","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities.","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities.","Provided $95,000 in funding for a NeuroScience outreach program targeting rural communities."
NeuroScience,Haji Mohammed Mustafa ,"$10,000","Invested $250,000 in a NeuroScience startup aiming to revolutionize mental health treatments.","Invested $250,000 in a NeuroScience startup aiming to revolutionize mental health treatments.","Invested $250,000 in a NeuroScience startup aiming to revolutionize mental health treatments."
NeuroScience,Mr.Kajal Sengupta ,"$10,000","Provided a grant of $75,000 to a NeuroScience lab for breakthrough research.","Provided a grant of $75,000 to a NeuroScience lab for breakthrough research.","Provided a grant of $75,000 to a NeuroScience lab for breakthrough research."
Meals - AkshayaPatra,3I,,"Donated $200,000 to provide meals for needy people a year ago.","Sponsored a seminar with a donation of $170,000 focusing on innovations in pediatric Cerebral Palsy care.","Supported university literacy with a grant of $200,000 to develop educational materials."
Meals - AkshayaPatra,42Gears,,"Invested around $400,000 in a meals for needy people initiative focused on food security.","Donated $180,000 to a charity providing financial assistance to families of children with Cerebral Palsy.","Donated $140,000 to a rural charity providing training and employment opportunities."
Meals - AkshayaPatra,Acentra Health,,"Helped blind people by donating $250,000 towards meals for needy people accessibility.","Invested $190,000 in a startup developing inclusive playground equipment for children with Cerebral Palsy.","Donated $200,000 to support rural development initiatives last year."
Meals - AkshayaPatra,ADCB,,"Contributed $150,000 to support meals for needy people infrastructure in underserved areas.","Supported Cerebral Palsy literacy with a grant of $200,000 to develop educational materials on the condition.","Invested approximately $400,000 in projects aimed at improving rural infrastructure."
Meals - AkshayaPatra,Advent International,,"Pledged $300,000 towards improving meals for needy people facilities for seniors.","Invested $190,000 in a startup providing renewable energy solutions for rural households.","Provided $75,000 in funding for meals for needy people kitchens serving low-income families."
Meals - AkshayaPatra,Airport Authority of India,,"Donated $220,000 to establish a mentorship program for refugee youth.","Donated $200,000 to support environmental conservation efforts last year.","Donated $220,000 to establish a mentorship program for refugee youth."
Meals - AkshayaPatra,Alimak Group,,"Invested $230,000 in a research project exploring the impact of climate change on humanitarian crises.","Invested approximately $400,000 in renewable energy projects to combat climate change.","Sponsored a conference with a donation of $30,000 to discuss flood management strategies."
Meals - AkshayaPatra,Apotex Inc.,,"Helped improve humanitarian response by donating $240,000 to train local volunteers.","Contributed $150,000 to fund wildlife conservation programs in endangered habitats.","Donated $40,000 to a flood relief outreach program for psychological support and trauma counseling."
Meals - AkshayaPatra,Apraava Energy,,"Provided $260,000 in funding for humanitarian organizations advocating for policy change.","Pledged $300,000 towards the protection of marine ecosystems and endangered species.","Sponsored a conference with a donation of $30,000 to discuss flood management strategies."
Meals - AkshayaPatra,Auma,,"Endowed $270,000 to establish a humanitarian innovation lab for designing solutions.","Donated $50,000 to provide clean energy solutions for rural communities.","Donated $40,000 to a flood relief outreach program for psychological support and trauma counseling."
Meals - AkshayaPatra,Awfis Space Solutions Pvt. Ltd.,,"Sponsored a meals for needy people conference with a donation of $30,000 to facilitate knowledge exchange.","Endowed $80,000 to establish a fund for reforestation initiatives in deforested areas.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness."
Meals - AkshayaPatra,Balajee Infratech and Constructions Private Limited,,"Donated $40,000 to a meals for needy people outreach program for nutrition awareness.","Sponsored an environmental summit with a donation of $30,000 to promote sustainability.","Supported mental health education with a grant of $100,000 to a mental health awareness program."
Meals - AkshayaPatra,"Balakrishna Industries Ltd,",,"Supported the publication of a meals for needy people research paper with a grant of $20,000.","Supported environmental education with a grant of $200,000 to develop educational materials.","Provided $75,000 in funding for mental health support groups and peer counseling."
