Cause,Donor_Name,Amount,,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,DrR.P. & Mrs.T.Sengupta ,$1 Million,,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,"Armenian Church of Nazareth, Calcutta","$5,00,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Sunita Dalmia Foundation ,"$2,50,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Madhu Saraf,"$2,50,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,"Infinity IT Park, Kolkata","$2,50,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Bajoria Foundation ,"$2,50,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Alan Rankin ,"$1,00,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Dr.Jayati Mukherjee,"$1,00,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Mr. B.D.Sureka,"$1,00,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Mr. B.K.Pal ,"$50,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Mr.Mustaq Hussain,"$50,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Sushila Morarka,"$50,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,International Neurosciences Foundation (INF,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Dr.Mrs.Nilima Chatterjee ,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Pakistan Cultural Society of North East facilitated by Mr.Z.Ahmed ,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Mr.M.K.Sehgal ,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Dr.Monica Biswas Estate ,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Adhunik Group of Industries ,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Dr.Mrs. Rita Gupta ,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Dr.Subhas. & Mrs. Indrani Halder,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Dr. J.C & Mrs.B.. Sarkar ,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Dr.Mihir. & Mrs. Basu ,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Dr. Malay Chakraborty ,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Mr.Sudhir Ranjan Pal ,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Dr.Kiron & Dr.Kamala Das ,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Dr.Malay Das ,"$20,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Dr.M. & Dr.Prabha Guha,"$10,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,"DAV Developments (Minoo Malhotra,Amita Malhotra &Family)","$10,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Haji Mohammed Mustafa ,"$10,000",,,,,,,,,,,,,,,,,,,,,,,
NeuroScience,Mr.Kajal Sengupta ,"$10,000",,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,3I,sk-proj-jpkIDFVMo6CLighyrcGkT3BlbkFJvNLNeHD1Vj0PvjTt26nC,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,42Gears,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Acentra Health,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,ADCB,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Advent International,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Airport Authority of India,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Alimak Group,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Apotex Inc.,,,,,,,,,,,,,,,,,,,,,,,,
